1013-broad-st-back-office-1,AIR-CAP3602E-A-K9,7c:ad:74:50:23:b1,ATC,US,10.140.23.244,4
1013-broad-st-front-office-1,AIR-CAP3602I-A-K9,64:12:25:07:ce:6f,default,location,US,10.140.23.251
1515-hull-101-h-c,AIR-CAP3702I-A-K9,80:e0:1d:6a:69:04,default,location,US,10.140.187.143
1515-hull-204-h-c,AIR-CAP3702I-A-K9,80:e0:1d:58:7f:18,default,location,US,10.140.187.144
1713-pace-closet,AIR-CAP3502I-A-K9,c4:64:13:5b:8d:cf,Pace,US,10.140.52.203,2
1907-oregon,AIR-AP1810W-B-K9,00:eb:d5:10:21:70,default,location,US,10.140.103.219
2010-campus-dr-205-h-w,AIR-CAP3502E-A-K9,2c:54:2d:8e:f8:31,2010,Campus,driv,US
2010-campus-dr-conf-rm-w,AIR-CAP3502E-A-K9,28:94:0f:58:e4:a1,default,US,10.140.25.17,10
202-alexander-jims-cave,AIR-CAP3702I-A-K9,00:fe:c8:30:90:1c,default,location,US,10.140.39.250
208-alexander-w,AIR-CAP3502E-A-K9,2c:54:2d:9d:f8:63,crowell,US,10.140.99.135,2
2101campus-2nd-fl-h-c,AIR-CAP3502I-A-K9,c4:64:13:c3:10:32,Campus,Dr,US,10.140.6.205
2106-campus-dr-1stflr-w,AIR-CAP3502E-A-K9,c4:64:13:00:42:5f,2106,Campus,Driv,US
2106-campus-dr-2ndflr-w,AIR-CAP3602E-A-K9,7c:ad:74:fb:e5:f4,default,location,US,10.148.94.134
2111campusdr-conferencerm-w,AIR-CAP3702E-A-K9,00:c1:64:c3:bc:7c,2111,Campus,Driv,US
2114-campusdrive-lost-1,AIR-CAP3702E-A-K9,00:c1:64:d8:54:b4,default,location,US,10.140.55.251
2114campusdr-upstairs-w,AIR-CAP3702E-A-K9,00:c1:64:f5:67:0c,2114,campus,driv,US
2117campusdr-001-w,AIR-CAP3702E-A-K9,00:c1:64:a6:a5:a8,2117,Campus,Driv,US
2117campusdr-104-w,AIR-CAP3702E-A-K9,00:c1:64:a6:a6:6c,2117,Campus,Driv,US
2117campusdr-203-w,AIR-CAP3702E-A-K9,00:c1:64:c3:bf:ac,2117,Campus,Driv,US
2117campusdr-212-h-w,AIR-CAP3702E-A-K9,00:c1:64:82:b8:48,2117,Campus,Driv,US
2117campusdr-garage,AIR-CAP3502E-A-K9,c4:64:13:00:27:cb,Campus,Dr,US,10.140.21.51
2117campusdr-old-106-w,AIR-CAP3602E-A-K9,7c:ad:74:28:4f:bf,Campus,Dr,US,10.140.21.57
2117campusdr-old-203,AIR-CAP3602E-A-K9,7c:ad:74:84:fe:e7,Campus,Dr,US,10.140.21.44
2117campusdr-old-207,AIR-CAP3602E-A-K9,7c:ad:74:28:4f:d7,Campus,Dr,US,10.140.21.53
2117campusdr-old-304-w,AIR-CAP3602E-A-K9,7c:ad:74:28:58:48,Campus,Dr,US,10.140.21.46
2122campusdr-lost,AIR-CAP3702E-A-K9,00:c1:64:db:77:40,default,location,US,10.140.52.56
2127campusdr-102-w,AIR-CAP3602E-A-K9,7c:ad:74:28:59:99,2127,Campus,Dr,US
2127campusdr-annex-146-w,AIR-CAP3702E-A-K9,00:c1:64:a6:a6:3c,2127,campus,driv,US
2127campusdr-annex-232-w,AIR-CAP3502E-A-K9,2c:54:2d:9d:f7:76,2127,Campus,Dr,US
2127-campusdr-stairs-w,AIR-CAP3602E-A-K9,7c:ad:74:fb:e6:5c,2127,Campus,Dr,US
218alexander-lost-2,AIR-CAP3702I-A-K9,00:42:68:a9:ba:ac,218alexander,US,10.140.27.42,2
