APname,APnum,location
7251-art-bldg-101-h-c,28:94:0f:01:1e:4b,1 Brodie
7251-art-bldg-106-tc,c4:64:13:c3:1c:11,1 Brodie
7251-art-bldg-116-conf,7c:ad:74:18:93:ff,1 Brodie
7251-art-bldg-200j-c,00:42:68:af:65:18,1 Brodie
7251-art-bldg-200k-h-c,c4:64:13:c3:0d:5b,1 Brodie
7251-art-bldg-200u-h-c,c4:64:13:c3:1d:5c,1 Brodie
7762facultyclub-13,c4:64:13:38:cf:4b,FacultyClub
1013-broad-st-back-office-1,7c:ad:74:50:23:b1,1013 Broad 
1013-broad-st-front-office-1,64:12:25:07:ce:6f,1013 Broad 
7762facultyclub-14,c4:64:13:5b:9e:aa,FacultyClub
7762facultyclub-15,c4:64:13:76:61:f8,FacultyClub
7762facultyclub-24-1,c4:64:13:2c:08:3f,FacultyClub
8067-lyndhurst-115-desk,28:94:0f:c1:13:b0,DocStudies
8067-lyndhurst-apt-attic,c4:64:13:38:c2:01,DocStudies
8067-lyndhurst-bridges-001-cab,c4:64:13:5b:a9:0d,DocStudies
8067-lyndhurst-bridges-007-w,2c:54:2d:8e:e5:ab,DocStudies
8067-Lyndhurst-Bridges-113-1,c4:64:13:2c:08:37,DocStudies
8067-lyndhurst-bridges-214-desk,00:42:68:8d:aa:a4,DocStudies
8067-lyndhurst-copyrm-c,c4:64:13:76:46:f5,DocStudies
8067-lyndhurst-l002-c,c4:64:13:76:49:6a,DocStudies
8067-lyndhurst-l304-w,2c:54:2d:0a:34:bc,DocStudies
7207-ark-101-w,2c:54:2d:0d:cb:8f,Ark
7762facultyclub-24-2,c4:64:13:38:d0:c5,FacultyClub
7762facultyclub-pumphouse-005,c4:64:13:76:65:4b,FacultyClub
dance-hull-st-1-c-1,c4:64:13:38:e4:07,DanceProgram
dance-hull-st-2-c-1,c4:64:13:00:43:94,DanceProgram
1515-hull-101-h-c,80:e0:1d:6a:69:04,DanceProgram 
1515-hull-204-h-c,80:e0:1d:58:7f:18,DanceProgram 
7762facultyclub-pumphouse-lap,c4:64:13:76:64:ce,FacultyClub
7171-1700-pace-aptc-w,00:c8:8b:c4:33:54,KAT 1700 Pace 
7171-1700-pace-aptl-q,28:94:0f:c9:0b:33,KAT 1700 Pace 
7171-1700-pace-aptl-w,00:c8:8b:e4:e1:ec,KAT 1700 Pace 
7171-1700-pace-aptp-w,00:c1:64:82:b8:80,KAT 1700 Pace 
7171-1700-pace-aptw-w,00:c1:64:82:b6:ac,KAT 1700 Pace 
7171-1708-pace-apta-w,00:c1:64:db:77:d4,DKE 1708 Pace 
7171-1708-pace-aptd-w,2c:54:2d:9e:17:b2,DKE 1708 Pace 
7171-1708-pace-aptj-w,00:c1:64:d8:54:44,DKE 1708 Pace 
7171-1708-pace-aptn-w,00:c1:64:e2:0a:c0,DKE 1708 Pace 
7171-1708-pace-aptq-w,2c:54:2d:8e:f7:c9,DKE 1708 Pace 
7171-1708-pace-aptt-w,7c:ad:74:fb:da:9a,DKE 1708 Pace 
7171-1708-pace-aptu-w,00:c8:8b:df:e4:c4,DKE 1708 Pace 
7171-1712-pace-apta-w,00:c1:64:b4:0f:98,DG 1712 Pace 
7171-1712-pace-aptc-w,00:c1:64:a6:96:88,DG 1712 Pace 
7171-1712-pace-aptj-w,00:c1:64:d8:68:a0,DG 1712 Pace 
7171-1712-pace-aptl-w,00:c8:8b:df:e5:5c,DG 1712 Pace 
1713-pace-closet,c4:64:13:5b:8d:cf,1713 Pace 
7161-1901-erwin-aptd-w,2c:54:2d:a4:2a:02,1901 Erwin 
7161-1901-erwin-apte-w,00:c1:64:82:b5:f8,1901 Erwin 
7161-1901-erwin-aptg-w,00:c1:64:c3:bd:20,1901 Erwin 
7161-1901-erwin-apti-w,00:c1:64:a6:99:30,1901 Erwin 
7160-1905-erwin-apte-w,00:c1:64:e2:0f:3c,KA 1905 Erwin 
7160-1905-erwin-aptg-w,00:c1:64:c3:bf:bc,KA 1905 Erwin 
7160-1905-erwin-apti-w,00:c1:64:b4:0c:e8,KA 1905 Erwin 
1907-oregon,00:eb:d5:10:21:70,ADP 1907 Erwin
7180-1907-erwin-apta-w,00:c1:64:d8:53:74,ADP 1907 Erwin
7180-1907-erwin-aptg-w,00:c1:64:a6:a5:98,ADP 1907 Erwin
7179-1909-yearby-apt-e-w,00:c1:64:a6:98:d0,1909 Yearby
7179-1909-yearby-apth-w,00:c1:64:a6:95:6c,1909 Yearby
7178-1911Erwin-aptd-w,2c:54:2d:0a:13:a7,DSig 1911 Erwin 
7178-1911erwin-apte-w,bc:16:65:16:50:2d,DSig 1911 Erwin 
7178-1911erwin-aptg-w,7c:ad:74:28:4f:d9,DSig 1911 Erwin 
7178-1911erwin-apti-w,7c:ad:74:84:ff:2f,DSig 1911 Erwin 
7158-1911yearby-aptd-w,2c:54:2d:9d:f9:43,SigEp 1911 Yearby 
7158-1911yearby-apte-w,00:c1:64:db:77:fc,SigEp 1911 Yearby 
7158-1911yearby-aptg-w,00:c1:64:c3:bc:24,SigEp 1911 Yearby 
