location,lat,long,campus
1 Brodie,36.00931,-78.917155,East
1013 Broad,36.01456,-78.919655,Off
DocStudies,36.004035,-78.918034,Off
Ark,36.007145,-78.913513,East
DanceProgram,36.002323,-78.923795,Central
KAT 1700 Pace,36.003982,-78.925353,Central
DKE 1708 Pace,36.004552,-78.925706,Central
DG 1712 Pace,36.004244,-78.926232,Central
1713 Pace,36.003522,-78.925892,Central
1901 Erwin,36.005632,-78.927522,Central
KA 1905 Erwin,36.005325,-78.927698,Central
ADP 1907 Erwin,36.005648,-78.927948,Central
1909 Yearby,36.00499,-78.928328,Central
DSig 1911 Erwin,36.005536,-78.928495,Central
SigEp 1911 Yearby,36.004663,-78.928283,Central
1913 Erwin,36.005915,-78.92854,Central
1914 Lewis,36.004206,-78.931373,Central
KKG 1915 Erwin,36.005453,-78.928835,Central
1915 Yearby,36.005013,-78.928733,Central
CentralGym,36.004819,-78.929587,Central
Bishop,36.008804,-78.913297,East
2010 Campus,36.0002445,-78.9297117,Central
Black CLG 2011 Yearby,36.0050092,-78.9314457,Central
2015 Yearby,36.0045858,-78.9314146,Central
202 Alexander,36.0052528,-78.9287467,Central
The Cube 205 Oregon,36.004682,-78.924496,Central
APhi 206 Oregon,36.004899,-78.925061,Central
208 Alexander,36.004937,-78.926587,Central
DDD 209 Anderson,36.006045,-78.928968,Central
Nicholas,35.99969,-78.930608,West
2106 Campus,36.000104,-78.930639,Central
2114 Campus,35.999523,-78.932174,Central
2117 Campus,35.999267,-78.931715,Central
2122 Campus,35.999834,-78.932363,Central
GradSchool,35.998891,-78.932287,West
2128 Campus,35.99953,-78.932183,Central
2129 Campus,35.999384,-78.932427,Central
2130 Campus,35.999096,-78.933132,Central
UndergradAdmissions,35.999751,-78.933302,West
Ubuntu 215 Alexander,36.004617,-78.926156,Central
215 Anderson,36.00591,-78.92947,Central
217 Anderson,36.005691,-78.929519,Central
218 Alexander,36.00471,-78.927815,Central
PKP 220 Alexander,36.004243,-78.926925,Central
221 Anderson,36.00542,-78.92931,Central
300 Alexander,36.003888,-78.926947,Central
300 Fuller,36.000508,-78.905693,Central
301 Oregon,36.003568,-78.924912,Central
ChiO 302 Anderson,36.005009,-78.930386,Central
302 Oregon,36.003486,-78.92547,Central
305 Alexander,36.0034897,-78.9286579,Central
306 Alexander,36.0033801,-78.9291956,Central
Lemur,35.9932964,-78.965111,Off
312 Anderson,36.00439,-78.9304881,Central
3523 Hillsborough,36.0207611,-78.9542583,Off
3540 Kangaroo,36.0137746,-78.9532603,Off
3703 Erwin,35.9989739,-78.9628424,Central
Catholic,36.0058295,-78.9142514,Off
402 Oregon,36.0024265,-78.9280869,Central
MuslimLife,36.0018991,-78.9245819,Central
TropicalStud,36.0018588,-78.9231385,Central
410 Towerview,35.9974857,-78.9374839,West
614 Chapel,35.9981511,-78.9351971,West
701 Main,35.999122,-78.907558,Off
705 Broad,36.0077997,-78.9212757,Off
ADF,36.0086409,-78.9210541,Off
AcademicAdvising,36.008176,-78.913391,East
Allen,36.0012,-78.9381,West
Alspaugh,36.008173,-78.915116,East
AmericanTobacco,35.9935538,-78.9034325,Off
Arts,36.00037,-78.9321,Central
Baseball,35.9981436,-78.9443663,West
Bassett,36.008718,-78.914188,East
Belltower,36.006976,-78.918145,East
Bevan,36.001901,-78.912803,Off
Biddle,36.0091439,-78.9169899,East
BioSci,36.00235,-78.9439,West
Bivins,36.0088639,-78.9180173,East
Blackwell,36.0063613,-78.9166284,East
Bostock,36.0029913,-78.9383196,West
Branson,36.009423,-78.9167774,East
Brightleaf,36.0002014,-78.9105484,Off
Brodie,36.0075113,-78.9191468,East
Brown,36.008103,-78.914195,East
BryanCenter,36.00104,-78.9422,West
CAE,35.9978145,-78.9429441,West
Cameron,35.9979182,-78.9423941,West
Card,35.9974,-78.9413,West
Carr,36.00651,-78.9157,East
Chapel,36.0019,-78.9403,West
Chiller1,35.9960064,-78.9374307,West
Ciemas,36.003484,-78.9397156,West
Craven,35.99977,-78.9387,West
CrowellQuad,35.998944,-78.939949,West
CrowellBuilding,36.006685,-78.913531,East
DevilsDen,36.002839,-78.925116,Central
Divinity,36.0022975,-78.939302,West
EastDuke,36.00575,-78.9143,East
EastHouse,36.005773,-78.914123,East
EastSteamPlant,36.003383,-78.916675,East
Edens,35.99848,-78.9369,West
EnvironmentalHall,36.0046527,-78.9425507,West
Epworth,36.006024,-78.913264,East
ErwinMill,36.0080197,-78.923917,Off
FacultyClub,35.9948035,-78.9505833,Off
FELL,36.0046024,-78.9437679,West
Few,35.99997,-78.9385,West
Flowers,36.00122,-78.9398,West
Franklin,36.0082388,-78.934603,Central
Freeman,36.0003272,-78.9222362,Central
French,36.0028522,-78.9435469,West
Friedl,36.0064876,-78.9142446,East
Fuqua,35.9989416,-78.9471323,West
Gardens,36.0012521,-78.9343748,Central
GilbertAddoms,36.0056417,-78.9169452,East
Giles,36.0070926,-78.9151246,East
Golf,35.9933135,-78.9479195,Off
Gray,36.00191,-78.9395,West
Gross,36.00108,-78.9452,West
Grounds,35.9939882,-78.9426012,Off
Hudson,36.0040534,-78.9404624,West
Jarvis,36.00588,-78.9163,East
Keohane,35.99859,-78.9381,West
Kilgo,35.99987,-78.9401,West
Koskinen,35.9956508,-78.9443123,West
Languages,36.0021847,-78.9380816,West
Law,35.9997335,-78.9454682,West
Lilly,36.007588,-78.9153308,East
LSRC,36.0047466,-78.941223,West
Marketplace,36.0075733,-78.9138599,East
MedCenter,36.0053898,-78.9361385,Off
Murray,35.9964292,-78.9429202,West
Nasher,35.9990848,-78.9290483,Central
North,36.0054275,-78.9409545,West
OldChem,36.00275,-78.9378,West
Page,36.0011863,-78.9399373,West
Pegram,36.0087379,-78.9151215,East
PennPavilion,36.0001205,-78.9407976,West
Perkins,36.0022802,-78.9383606,West
Physics,36.0032859,-78.9424713,West
Randolph,36.0067896,-78.9171211,East
Rubenstein,36.00162,-78.9388,West
Sanford,35.9993686,-78.9439599,West
Schwartz,35.9978801,-78.9429456,West
SmartHome,36.0007875,-78.921303,Central
Smith,36.0021268,-78.9147817,East
SocPsy,36.0024427,-78.9369946,West
SocSci,36.00177,-78.9375,West
Softball,36.0088415,-78.9179017,West
Southgate,36.0059956,-78.917936,East
Swift,36.00268,-78.9239,Central
Teer,36.0036479,-78.9408636,West
Telcom,36.0029096,-78.938278,West
Trent,36.0072092,-78.9339654,Central
Trinity,36.0070347,-78.9191259,East
TUNL,36.003851,-78.943119,West
WallaceWade,35.99537,-78.9419,West
Wannamaker,35.99863,-78.9392,West
WestDuke,36.0049716,-78.9153594,East
WestSteamPlant,36.0052838,-78.9465972,West
WestUnion,36.00088,-78.9397,West
White,36.00522,-78.9148,East
WilliamsField,36.00764,-78.92,West
Wilson,36.0070388,-78.9143119,East
420 Anderson,36.002066,-78.9337008,Central
