"_raw","_time",ap,"asa_code","date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",eventtype,host,index,ipaddr,linecount,location,macaddr,punct,slotnum,source,sourcetype,"splunk_server","splunk_server_group",ssid,time,timeendpos,timestartpos
"time=2018-05-01T23:44:16.000-0400,asa_code=APF-3-AUTHENTICATION_TRAP,macaddr=68:c4:4d:9c:ab:6e,ap=7792-keohane-4a-202-w,slotnum=1.0,ssid=DukeVisitor,ipaddr=172.30.98.157,location=default location","2018-05-01T23:44:16.000-0400","7792-keohane-4a-202-w","APF-3-AUTHENTICATION_TRAP",23,1,44,may,16,tuesday,2018,local,,"dsplunk-search-head-40","dataplus-wireless","172.30.98.157",1,default,"68:c4:4d:9c:ab:6e","=--::.-,=--,=:::::,=----,=.,=,=...,=_","1.0","/home/eah33/data-plus-2018_wireless-ap-logs_20180501.csv-kv.log","linux_messages_syslog","dsplunk-index-40",,DukeVisitor,"2018-05-01T23:44:16.000-0400",32,5
"time=2018-05-01T23:44:00.000-0400,asa_code=APF-3-AUTHENTICATION_TRAP,macaddr=68:c4:4d:9c:ab:6e,ap=7792-keohane-4a-204-w,slotnum=1.0,ssid=DukeVisitor,ipaddr=172.30.98.157,location=default location","2018-05-01T23:44:00.000-0400","7792-keohane-4a-204-w","APF-3-AUTHENTICATION_TRAP",23,1,44,may,0,tuesday,2018,local,,"dsplunk-search-head-40","dataplus-wireless","172.30.98.157",1,default,"68:c4:4d:9c:ab:6e","=--::.-,=--,=:::::,=----,=.,=,=...,=_","1.0","/home/eah33/data-plus-2018_wireless-ap-logs_20180501.csv-kv.log","linux_messages_syslog","dsplunk-index-40",,DukeVisitor,"2018-05-01T23:44:00.000-0400",32,5
"time=2018-05-01T23:43:53.000-0400,asa_code=APF-3-ASSOC_TRAP,macaddr=68:c4:4d:9c:ab:6e,ap=7792-keohane-4a-204-w,slotnum=1.0,ssid=nan,ipaddr=unknown,location=default location","2018-05-01T23:43:53.000-0400","7792-keohane-4a-204-w","APF-3-ASSOC_TRAP",23,1,43,may,53,tuesday,2018,local,,"dsplunk-search-head-40","dataplus-wireless",unknown,1,default,"68:c4:4d:9c:ab:6e","=--::.-,=--,=:::::,=----,=.,=,=,=_","1.0","/home/eah33/data-plus-2018_wireless-ap-logs_20180501.csv-kv.log","linux_messages_syslog","dsplunk-index-40",,nan,"2018-05-01T23:43:53.000-0400",32,5
"time=2018-05-01T23:43:28.000-0400,asa_code=APF-3-AUTHENTICATION_TRAP,macaddr=68:c4:4d:9c:ab:6e,ap=7792-keohane-4a-102-w,slotnum=1.0,ssid=DukeOpen,ipaddr=10.194.131.99,location=default location","2018-05-01T23:43:28.000-0400","7792-keohane-4a-102-w","APF-3-AUTHENTICATION_TRAP",23,1,43,may,28,tuesday,2018,local,,"dsplunk-search-head-40","dataplus-wireless","10.194.131.99",1,default,"68:c4:4d:9c:ab:6e","=--::.-,=--,=:::::,=----,=.,=,=...,=_","1.0","/home/eah33/data-plus-2018_wireless-ap-logs_20180501.csv-kv.log","linux_messages_syslog","dsplunk-index-40",,DukeOpen,"2018-05-01T23:43:28.000-0400",32,5
"time=2018-05-01T23:43:28.000-0400,asa_code=APF-3-ASSOC_TRAP,macaddr=68:c4:4d:9c:ab:6e,ap=7792-keohane-4a-102-w,slotnum=1.0,ssid=nan,ipaddr=10.194.131.99,location=default location","2018-05-01T23:43:28.000-0400","7792-keohane-4a-102-w","APF-3-ASSOC_TRAP",23,1,43,may,28,tuesday,2018,local,,"dsplunk-search-head-40","dataplus-wireless","10.194.131.99",1,default,"68:c4:4d:9c:ab:6e","=--::.-,=--,=:::::,=----,=.,=,=...,=_","1.0","/home/eah33/data-plus-2018_wireless-ap-logs_20180501.csv-kv.log","linux_messages_syslog","dsplunk-index-40",,nan,"2018-05-01T23:43:28.000-0400",32,5
"time=2018-05-01T23:43:05.000-0400,asa_code=APF-3-AUTHENTICATION_TRAP,macaddr=68:c4:4d:9c:ab:6e,ap=7792-keohane-4e-111d-w,slotnum=0.0,ssid=DukeOpen,ipaddr=10.194.131.99,location=default location","2018-05-01T23:43:05.000-0400","7792-keohane-4e-111d-w","APF-3-AUTHENTICATION_TRAP",23,1,43,may,5,tuesday,2018,local,,"dsplunk-search-head-40","dataplus-wireless","10.194.131.99",1,default,"68:c4:4d:9c:ab:6e","=--::.-,=--,=:::::,=----,=.,=,=...,=_","0.0","/home/eah33/data-plus-2018_wireless-ap-logs_20180501.csv-kv.log","linux_messages_syslog","dsplunk-index-40",,DukeOpen,"2018-05-01T23:43:05.000-0400",32,5
"time=2018-05-01T23:43:04.000-0400,asa_code=APF-3-AUTHENTICATION_TRAP,macaddr=68:c4:4d:9c:ab:6e,ap=7792-keohane-4e-111d-w,slotnum=0.0,ssid=DukeOpen,ipaddr=unknown,location=default location","2018-05-01T23:43:04.000-0400","7792-keohane-4e-111d-w","APF-3-AUTHENTICATION_TRAP",23,1,43,may,4,tuesday,2018,local,,"dsplunk-search-head-40","dataplus-wireless",unknown,1,default,"68:c4:4d:9c:ab:6e","=--::.-,=--,=:::::,=----,=.,=,=,=_","0.0","/home/eah33/data-plus-2018_wireless-ap-logs_20180501.csv-kv.log","linux_messages_syslog","dsplunk-index-40",,DukeOpen,"2018-05-01T23:43:04.000-0400",32,5
"time=2018-05-01T23:43:04.000-0400,asa_code=APF-3-ASSOC_TRAP,macaddr=68:c4:4d:9c:ab:6e,ap=7792-keohane-4e-111d-w,slotnum=0.0,ssid=nan,ipaddr=unknown,location=default location","2018-05-01T23:43:04.000-0400","7792-keohane-4e-111d-w","APF-3-ASSOC_TRAP",23,1,43,may,4,tuesday,2018,local,,"dsplunk-search-head-40","dataplus-wireless",unknown,1,default,"68:c4:4d:9c:ab:6e","=--::.-,=--,=:::::,=----,=.,=,=,=_","0.0","/home/eah33/data-plus-2018_wireless-ap-logs_20180501.csv-kv.log","linux_messages_syslog","dsplunk-index-40",,nan,"2018-05-01T23:43:04.000-0400",32,5
"time=2018-05-01T23:42:51.000-0400,asa_code=APF-3-ASSOC_TRAP,macaddr=68:c4:4d:9c:ab:6e,ap=7792-keohane-4e-225c-w,slotnum=0.0,ssid=nan,ipaddr=unknown,location=default location","2018-05-01T23:42:51.000-0400","7792-keohane-4e-225c-w","APF-3-ASSOC_TRAP",23,1,42,may,51,tuesday,2018,local,,"dsplunk-search-head-40","dataplus-wireless",unknown,1,default,"68:c4:4d:9c:ab:6e","=--::.-,=--,=:::::,=----,=.,=,=,=_","0.0","/home/eah33/data-plus-2018_wireless-ap-logs_20180501.csv-kv.log","linux_messages_syslog","dsplunk-index-40",,nan,"2018-05-01T23:42:51.000-0400",32,5
"time=2018-05-01T23:42:35.000-0400,asa_code=APF-3-ASSOC_TRAP,macaddr=68:c4:4d:9c:ab:6e,ap=7792-keohane-4e-105-w,slotnum=1.0,ssid=nan,ipaddr=unknown,location=default location","2018-05-01T23:42:35.000-0400","7792-keohane-4e-105-w","APF-3-ASSOC_TRAP",23,1,42,may,35,tuesday,2018,local,,"dsplunk-search-head-40","dataplus-wireless",unknown,1,default,"68:c4:4d:9c:ab:6e","=--::.-,=--,=:::::,=----,=.,=,=,=_","1.0","/home/eah33/data-plus-2018_wireless-ap-logs_20180501.csv-kv.log","linux_messages_syslog","dsplunk-index-40",,nan,"2018-05-01T23:42:35.000-0400",32,5
"time=2018-05-01T23:42:20.000-0400,asa_code=APF-3-AUTHENTICATION_TRAP,macaddr=68:c4:4d:9c:ab:6e,ap=7792-keohane-4e-104b-w,slotnum=0.0,ssid=DukeOpen,ipaddr=10.194.131.99,location=default location","2018-05-01T23:42:20.000-0400","7792-keohane-4e-104b-w","APF-3-AUTHENTICATION_TRAP",23,1,42,may,20,tuesday,2018,local,,"dsplunk-search-head-40","dataplus-wireless","10.194.131.99",1,default,"68:c4:4d:9c:ab:6e","=--::.-,=--,=:::::,=----,=.,=,=...,=_","0.0","/home/eah33/data-plus-2018_wireless-ap-logs_20180501.csv-kv.log","linux_messages_syslog","dsplunk-index-40",,DukeOpen,"2018-05-01T23:42:20.000-0400",32,5
"time=2018-05-01T23:42:20.000-0400,asa_code=APF-3-ASSOC_TRAP,macaddr=68:c4:4d:9c:ab:6e,ap=7792-keohane-4e-104b-w,slotnum=0.0,ssid=nan,ipaddr=10.194.131.99,location=default location","2018-05-01T23:42:20.000-0400","7792-keohane-4e-104b-w","APF-3-ASSOC_TRAP",23,1,42,may,20,tuesday,2018,local,,"dsplunk-search-head-40","dataplus-wireless","10.194.131.99",1,default,"68:c4:4d:9c:ab:6e","=--::.-,=--,=:::::,=----,=.,=,=...,=_","0.0","/home/eah33/data-plus-2018_wireless-ap-logs_20180501.csv-kv.log","linux_messages_syslog","dsplunk-index-40",,nan,"2018-05-01T23:42:20.000-0400",32,5
"time=2018-05-01T23:42:14.000-0400,asa_code=APF-3-ASSOC_TRAP,macaddr=68:c4:4d:9c:ab:6e,ap=7792-keohane-4e-210-w,slotnum=1.0,ssid=nan,ipaddr=10.194.131.99,location=default location","2018-05-01T23:42:14.000-0400","7792-keohane-4e-210-w","APF-3-ASSOC_TRAP",23,1,42,may,14,tuesday,2018,local,,"dsplunk-search-head-40","dataplus-wireless","10.194.131.99",1,default,"68:c4:4d:9c:ab:6e","=--::.-,=--,=:::::,=----,=.,=,=...,=_","1.0","/home/eah33/data-plus-2018_wireless-ap-logs_20180501.csv-kv.log","linux_messages_syslog","dsplunk-index-40",,nan,"2018-05-01T23:42:14.000-0400",32,5
"time=2018-05-01T23:42:14.000-0400,asa_code=APF-3-AUTHENTICATION_TRAP,macaddr=68:c4:4d:9c:ab:6e,ap=7792-keohane-4e-210-w,slotnum=1.0,ssid=DukeOpen,ipaddr=10.194.131.99,location=default location","2018-05-01T23:42:14.000-0400","7792-keohane-4e-210-w","APF-3-AUTHENTICATION_TRAP",23,1,42,may,14,tuesday,2018,local,,"dsplunk-search-head-40","dataplus-wireless","10.194.131.99",1,default,"68:c4:4d:9c:ab:6e","=--::.-,=--,=:::::,=----,=.,=,=...,=_","1.0","/home/eah33/data-plus-2018_wireless-ap-logs_20180501.csv-kv.log","linux_messages_syslog","dsplunk-index-40",,DukeOpen,"2018-05-01T23:42:14.000-0400",32,5
"time=2018-05-01T23:42:07.000-0400,asa_code=APF-3-ASSOC_TRAP,macaddr=68:c4:4d:9c:ab:6e,ap=7792-keohane-4e-308-w,slotnum=1.0,ssid=nan,ipaddr=10.194.131.99,location=default location","2018-05-01T23:42:07.000-0400","7792-keohane-4e-308-w","APF-3-ASSOC_TRAP",23,1,42,may,7,tuesday,2018,local,,"dsplunk-search-head-40","dataplus-wireless","10.194.131.99",1,default,"68:c4:4d:9c:ab:6e","=--::.-,=--,=:::::,=----,=.,=,=...,=_","1.0","/home/eah33/data-plus-2018_wireless-ap-logs_20180501.csv-kv.log","linux_messages_syslog","dsplunk-index-40",,nan,"2018-05-01T23:42:07.000-0400",32,5
"time=2018-05-01T23:42:07.000-0400,asa_code=APF-3-AUTHENTICATION_TRAP,macaddr=68:c4:4d:9c:ab:6e,ap=7792-keohane-4e-308-w,slotnum=1.0,ssid=DukeOpen,ipaddr=10.194.131.99,location=default location","2018-05-01T23:42:07.000-0400","7792-keohane-4e-308-w","APF-3-AUTHENTICATION_TRAP",23,1,42,may,7,tuesday,2018,local,,"dsplunk-search-head-40","dataplus-wireless","10.194.131.99",1,default,"68:c4:4d:9c:ab:6e","=--::.-,=--,=:::::,=----,=.,=,=...,=_","1.0","/home/eah33/data-plus-2018_wireless-ap-logs_20180501.csv-kv.log","linux_messages_syslog","dsplunk-index-40",,DukeOpen,"2018-05-01T23:42:07.000-0400",32,5
"time=2018-05-01T23:42:06.000-0400,asa_code=APF-3-ASSOC_TRAP,macaddr=68:c4:4d:9c:ab:6e,ap=7792-keohane-4e-308-w,slotnum=1.0,ssid=nan,ipaddr=10.194.131.99,location=default location","2018-05-01T23:42:06.000-0400","7792-keohane-4e-308-w","APF-3-ASSOC_TRAP",23,1,42,may,6,tuesday,2018,local,,"dsplunk-search-head-40","dataplus-wireless","10.194.131.99",1,default,"68:c4:4d:9c:ab:6e","=--::.-,=--,=:::::,=----,=.,=,=...,=_","1.0","/home/eah33/data-plus-2018_wireless-ap-logs_20180501.csv-kv.log","linux_messages_syslog","dsplunk-index-40",,nan,"2018-05-01T23:42:06.000-0400",32,5
"time=2018-05-01T23:42:06.000-0400,asa_code=APF-3-AUTHENTICATION_TRAP,macaddr=68:c4:4d:9c:ab:6e,ap=7792-keohane-4e-308-w,slotnum=1.0,ssid=DukeOpen,ipaddr=10.194.131.99,location=default location","2018-05-01T23:42:06.000-0400","7792-keohane-4e-308-w","APF-3-AUTHENTICATION_TRAP",23,1,42,may,6,tuesday,2018,local,,"dsplunk-search-head-40","dataplus-wireless","10.194.131.99",1,default,"68:c4:4d:9c:ab:6e","=--::.-,=--,=:::::,=----,=.,=,=...,=_","1.0","/home/eah33/data-plus-2018_wireless-ap-logs_20180501.csv-kv.log","linux_messages_syslog","dsplunk-index-40",,DukeOpen,"2018-05-01T23:42:06.000-0400",32,5
"time=2018-05-01T23:41:51.000-0400,asa_code=APF-3-AUTHENTICATION_TRAP,macaddr=68:c4:4d:9c:ab:6e,ap=7795-keohane-4d-101st-c,slotnum=0.0,ssid=DukeOpen,ipaddr=10.194.131.99,location=default location","2018-05-01T23:41:51.000-0400","7795-keohane-4d-101st-c","APF-3-AUTHENTICATION_TRAP",23,1,41,may,51,tuesday,2018,local,,"dsplunk-search-head-40","dataplus-wireless","10.194.131.99",1,default,"68:c4:4d:9c:ab:6e","=--::.-,=--,=:::::,=----,=.,=,=...,=_","0.0","/home/eah33/data-plus-2018_wireless-ap-logs_20180501.csv-kv.log","linux_messages_syslog","dsplunk-index-40",,DukeOpen,"2018-05-01T23:41:51.000-0400",32,5
"time=2018-05-01T23:41:51.000-0400,asa_code=APF-3-ASSOC_TRAP,macaddr=68:c4:4d:9c:ab:6e,ap=7795-keohane-4d-101st-c,slotnum=0.0,ssid=nan,ipaddr=10.194.131.99,location=default location","2018-05-01T23:41:51.000-0400","7795-keohane-4d-101st-c","APF-3-ASSOC_TRAP",23,1,41,may,51,tuesday,2018,local,,"dsplunk-search-head-40","dataplus-wireless","10.194.131.99",1,default,"68:c4:4d:9c:ab:6e","=--::.-,=--,=:::::,=----,=.,=,=...,=_","0.0","/home/eah33/data-plus-2018_wireless-ap-logs_20180501.csv-kv.log","linux_messages_syslog","dsplunk-index-40",,nan,"2018-05-01T23:41:51.000-0400",32,5
"time=2018-05-01T23:41:47.000-0400,asa_code=APF-3-AUTHENTICATION_TRAP,macaddr=68:c4:4d:9c:ab:6e,ap=7792-keohane-4e-210-w,slotnum=1.0,ssid=DukeOpen,ipaddr=10.194.131.99,location=default location","2018-05-01T23:41:47.000-0400","7792-keohane-4e-210-w","APF-3-AUTHENTICATION_TRAP",23,1,41,may,47,tuesday,2018,local,,"dsplunk-search-head-40","dataplus-wireless","10.194.131.99",1,default,"68:c4:4d:9c:ab:6e","=--::.-,=--,=:::::,=----,=.,=,=...,=_","1.0","/home/eah33/data-plus-2018_wireless-ap-logs_20180501.csv-kv.log","linux_messages_syslog","dsplunk-index-40",,DukeOpen,"2018-05-01T23:41:47.000-0400",32,5
"time=2018-05-01T23:41:47.000-0400,asa_code=APF-3-ASSOC_TRAP,macaddr=68:c4:4d:9c:ab:6e,ap=7792-keohane-4e-210-w,slotnum=1.0,ssid=nan,ipaddr=10.194.131.99,location=default location","2018-05-01T23:41:47.000-0400","7792-keohane-4e-210-w","APF-3-ASSOC_TRAP",23,1,41,may,47,tuesday,2018,local,,"dsplunk-search-head-40","dataplus-wireless","10.194.131.99",1,default,"68:c4:4d:9c:ab:6e","=--::.-,=--,=:::::,=----,=.,=,=...,=_","1.0","/home/eah33/data-plus-2018_wireless-ap-logs_20180501.csv-kv.log","linux_messages_syslog","dsplunk-index-40",,nan,"2018-05-01T23:41:47.000-0400",32,5
"time=2018-05-01T23:41:27.000-0400,asa_code=APF-3-ASSOC_TRAP,macaddr=68:c4:4d:9c:ab:6e,ap=7795-wel4d-001dinner-w,slotnum=0.0,ssid=nan,ipaddr=10.194.131.99,location=keohane-4a","2018-05-01T23:41:27.000-0400","7795-wel4d-001dinner-w","APF-3-ASSOC_TRAP",23,1,41,may,27,tuesday,2018,local,,"dsplunk-search-head-40","dataplus-wireless","10.194.131.99",1,"keohane-4a","68:c4:4d:9c:ab:6e","=--::.-,=--,=:::::,=---,=.,=,=...,=-","0.0","/home/eah33/data-plus-2018_wireless-ap-logs_20180501.csv-kv.log","linux_messages_syslog","dsplunk-index-40",,nan,"2018-05-01T23:41:27.000-0400",32,5
"time=2018-05-01T23:41:27.000-0400,asa_code=APF-3-AUTHENTICATION_TRAP,macaddr=68:c4:4d:9c:ab:6e,ap=7795-wel4d-001dinner-w,slotnum=0.0,ssid=DukeOpen,ipaddr=10.194.131.99,location=keohane-4a","2018-05-01T23:41:27.000-0400","7795-wel4d-001dinner-w","APF-3-AUTHENTICATION_TRAP",23,1,41,may,27,tuesday,2018,local,,"dsplunk-search-head-40","dataplus-wireless","10.194.131.99",1,"keohane-4a","68:c4:4d:9c:ab:6e","=--::.-,=--,=:::::,=---,=.,=,=...,=-","0.0","/home/eah33/data-plus-2018_wireless-ap-logs_20180501.csv-kv.log","linux_messages_syslog","dsplunk-index-40",,DukeOpen,"2018-05-01T23:41:27.000-0400",32,5
"time=2018-05-01T23:12:07.000-0400,asa_code=APF-3-AUTHENTICATION_TRAP,macaddr=68:c4:4d:9c:ab:6e,ap=7795-wel4d-001dinner-w,slotnum=1.0,ssid=DukeOpen,ipaddr=10.194.131.99,location=keohane-4a","2018-05-01T23:12:07.000-0400","7795-wel4d-001dinner-w","APF-3-AUTHENTICATION_TRAP",23,1,12,may,7,tuesday,2018,local,,"dsplunk-search-head-40","dataplus-wireless","10.194.131.99",1,"keohane-4a","68:c4:4d:9c:ab:6e","=--::.-,=--,=:::::,=---,=.,=,=...,=-","1.0","/home/eah33/data-plus-2018_wireless-ap-logs_20180501.csv-kv.log","linux_messages_syslog","dsplunk-index-40",,DukeOpen,"2018-05-01T23:12:07.000-0400",32,5
"time=2018-05-01T23:12:07.000-0400,asa_code=APF-3-ASSOC_TRAP,macaddr=68:c4:4d:9c:ab:6e,ap=7795-wel4d-001dinner-w,slotnum=1.0,ssid=nan,ipaddr=10.194.131.99,location=keohane-4a","2018-05-01T23:12:07.000-0400","7795-wel4d-001dinner-w","APF-3-ASSOC_TRAP",23,1,12,may,7,tuesday,2018,local,,"dsplunk-search-head-40","dataplus-wireless","10.194.131.99",1,"keohane-4a","68:c4:4d:9c:ab:6e","=--::.-,=--,=:::::,=---,=.,=,=...,=-","1.0","/home/eah33/data-plus-2018_wireless-ap-logs_20180501.csv-kv.log","linux_messages_syslog","dsplunk-index-40",,nan,"2018-05-01T23:12:07.000-0400",32,5
