ap,rawX,rawY,transX,transY
ref1,101,288,200,-100
ref2,514,702,300,-200
7704-perkins-213-c-14-3802i,396,771,,
7704-perkins-215-c-16-3802i,758,701,,
7704-perkins-217-c-15-3802i,594,674,,
7704-perkins-226-c-06-3802i,739,227,,
7704-perkins-226-c-07-3802i,608,197,,
7704-perkins-226-c-08-3802i,397,138,,
7704-perkins-233-c-09-3802i,210,141,,
7704-perkins-233-c-11-3802i,227,473,,
7704-perkins-233-c-12-3802i,99,305,,
7704-perkins-234-c-01-3802i,347,345,,
7704-perkins-234-c-02-3802i,466,576,,
7704-perkins-234-c-03-3802i,716,549,,
7704-perkins-234-c-04-3802i,756,446,,
7704-perkins-234-c-05-3802i,524,310,,
7704-perkins-243-c-10-3802i,133,546,,
7704-perkins-243-c-13-3802i,215,697,,
