ap,rawX,rawY,transX,transY
ref1,542,160,200,-100
ref2,808,422,300,-200
7704-perkins-011-c-06,756,489,,
7704-perkins-013-c-05-3802i,617,531,,
7704-perkins-017-c-03-3802i,579,596,,
7704-perkins-017-c-04-3802i,563,493,,
7704-perkins-021a-c-01-3802i,510,661,,
7704-perkins-023-c-02-3802i,495,607,,
7704-perkins-052-c-12-3802i,649,367,,
7704-perkins-054-c-13-3802i,755,367,,
7704-perkins-055cor-c-09-3802i,531,395,,
7704-perkins-058-c-16-3802i,646,309,,
7704-perkins-059-c-07-3802i,875,504,,
7704-perkins-060-c-08-3802i,938,514,,
7704-perkins-061-c-11-3802i,1051,493,,
7704-perkins-067-c-10-3802i,894,447,,
7704-perkins-067-c-14-3802i,865,330,,
7704-perkins-067-c-15-3802i,967,388,,
7704-perkins-067-c-21-3802i,810,225,,
7704-perkins-070-c-22-3802i,875,214,,
7704-perkins-071-c-23-3802i,940,173,,
7704-perkins-072-c-27-3802i,930,93,,
7704-perkins-073-c-26,800,103,,
7704-perkins-074-c-28-3802i,804,47,,
7704-perkins-076-c-25-3802i,651,87,,
7704-perkins-079-c-24-3802i,521,120,,
7704-perkins-081-c-19-3802i,613,187,,
7704-perkins-085-c-20-3802i,747,193,,
7704-perkins-086-c-18-3802i,550,221,,
7704-perkins-087-c-17-3802i,745,292,,
7704-per-rub-080-1-h,133,481,,
7704-per-rub-080-2-h-c,135,621,,
7704-per-rub-080-3-h-c,135,701,,
7704-per-rub-093-3-h-c,229,393,,
7704-per-rub-093-4-h-c,294,393,,
7704-per-rub-093-5-h-c,351,391,,
7704-per-rub-093d-h-c,160,401,,
7704-per-rub-094-1-c,74,401,,
7704-per-rub-094-2-c,76,359,,
7704-per-rub-095-c,336,783,,
7704-per-rub-099-1-c,250,500,,
7704-per-rub-099-2-c,336,500,,
7704-per-rub-099-3-c,252,560,,
7704-per-rub-099-4-c,340,560,,
7704-per-rub-099-5-c,250,619,,
7704-per-rub-099-6-c,340,590,,
